title,channel_title,subscriber_count,duration_minutes,released_year,views,language,region,likes,comments,has_subtitles
lofi hip hop radio 📚 beats to relax/study to,Lofi Girl,14900000,0.0,2022,543390142,en-US,FR,3227137,0,FALSE
Chill Lofi Beats Mix [chill lo-fi hip hop beats/Study & Relax Music],Art Is Sound,12500,102.92,2024,2459613,en-US,US,15513,424,FALSE
"90's Lofi City 🔥Retro Tokyo Lofi 🌃 Lo fi Beats To Sleep, Relax [lofi hiphop mix]",Chillhop Street Beats,26800,90.82,2024,4093102,en,US,36930,1460,TRUE
𝙻𝚘𝚏𝚒 𝚁𝚘𝚘𝚖 / 𝙶𝚞𝚒𝚝𝚊𝚛 𝙻𝚘𝚏𝚒 / 𝙲𝚊𝚏𝚎 𝙼𝚞𝚜𝚒𝚌 / 𝙴𝚊𝚜𝚢 𝚕𝚒𝚜𝚝𝚎𝚗𝚒𝚗𝚐 / 𝙱𝙶𝙼 / 𝙻𝚘𝚏𝚒 𝙼𝚞𝚜𝚒𝚌 / 𝚅𝚎𝚛.𝟾,Myour Music,39800,182.48,2024,4176732,en,US,31549,344,FALSE
90's Chill Lofi ☕️ Study Music Lofi Rain Chillhop Beats ☔️ Lofi Rain Playlist,The Japanese Town,50400,713.75,2024,9689587,en,US,78930,2972,FALSE
Make you feel positive and peaceful 🍀 Lofi Coffee ☕ ~ Lofi Hip Hop - Lofi Music [ Study/ Relax ],Lofi Coffee,66800,1478.63,2024,6785571,unknown,US,47591,1673,TRUE
"Seaside Coffee 🍵 Feel your peace & Relax 🌱 Coffee Morning | Lofi Hip Hop - Chill to work, relax",Healing Me,39800,704.75,2025,258138,unknown,GB,1515,79,FALSE
Daily Working Routine 📂 Lofi Deep Focus Work/Study Concentration [chill lo-fi hip hop beats],𝗖𝗛𝗜𝗟𝗟 𝗩𝗜𝗟𝗟𝗔𝗚𝗘,88300,715.0,2024,714533,en,US,3557,110,TRUE
Late Night Buzz 1,Bitcoin Music,3490000,02.08,2025,16,en,US,0,1,FALSE
Lo-fi Music for Calm and Relax | 2 Hours Chill Lo-fi Hip Hop Beats | Café Ambience,APM Music Café,7860,122.98,2024,778179,unknown,CA,3433,154,FALSE
Rainy Day ☔ Chilling Your Mood 🎧 Chill Lo-fi Hip Hop to Study / Relax / Work 🌲 Lofi Coffee ☕,Lofi Coffee,66800,213.37,2024,2381048,unknown,US,13726,580,FALSE
"Quiet Rainy Night 🌧️ Lofi Chill Beats 🌙 Stress Relief, Study, Work with Chillhop Mix [ Chill Music ]",Chill City Night,10000,189.05,2024,360804,unknown,US,4282,132,FALSE
Daily Work Office 📒 Lofi Deep Focus Study/Work Concentration [chill lo-fi hip hop beats],𝗖𝗛𝗜𝗟𝗟 𝗩𝗜𝗟𝗟𝗔𝗚𝗘,88300,714.93,2023,1342374,en,US,5786,191,TRUE
Lo-fi Café ☕️ 2 Hours Lo-fi Hip Hop Beats 🎶 Music That Brings the Cafe Vibes to You | BGM | Ver.2,APM Music Café,7860,133.1,2025,175604,unknown,CA,1016,64,FALSE
Disney Lofi Mix [full playlist] ✨ 2h chill hiphop beats to study/relax to,møon lofi beats,8830,109.43,2022,1356932,unknown,IT,14058,203,TRUE
lofi hip hop mix 📚 beats to relax/study to (Part 1),Lofi Girl,14900000,176.92,2024,2671865,unknown,FR,16298,528,TRUE
90's Lofi City 🌧️ Rainy Lofi Hip Hop 🎶 Lofi Music & Rain Sounds,Chill Cities Vibes,59700,714.93,2024,2633974,en,US,34533,566,FALSE
synthwave radio 🌌 beats to chill/game to,Lofi Girl,14900000,0.0,2023,52122117,unknown,FR,395588,0,FALSE
Best of lofi hip hop 2022 🎆 - beats to relax/study to,Lofi Girl,14900000,191.23,2022,16110685,unknown,FR,107980,2731,FALSE
Quiet Night Cafe🌿 Lofi Music to Deep Focus to Relax/Study/Work - Chill Lo-fi Hip Hop ~ Lofi Coffee ☕,Lofi Coffee,66800,214.65,2024,611360,unknown,US,2682,81,TRUE
One Piece 🏴‍☠️ Lofi HipHop |best calm and relaxing Mix | Lofi Culture One Piece ⚓️,Lofi Culture,27500,67.38,2023,1570779,unknown,GB,35892,710,TRUE
"Lofi Relax 🍃 Lofi Hip Hop | Calming Music 🎶 Deep Focus, Relaxing Music",Chill Melodies,95100,714.98,2024,2443981,en,US,23703,1408,FALSE
Morning Spring Lofi Music 🌷 Coffee Music ☕ Lofi Hip Hop - Beats to relax//chill to,Dreamy Lofi Coffee,7990,714.98,2025,75655,en,CA,443,5,FALSE
Disney Lofi Songs [chill playlist] 🎀 2h chill hiphop beats to study/work to,møon lofi beats,8830,129.52,2025,100902,unknown,IT,436,21,TRUE
Restful Holidays ☀️ [summer lofi],Lofi Girl,14900000,61.35,2023,1315287,unknown,FR,21017,871,TRUE
Sunny Lofi Coffee Shop🌞|~ Lofi Coffee ☕ ~ Lofi Hip Hop🎵 ~ Lofi Music🎧 [ Study📖/ Relax🌞/Work ✏️],The Daily Grind,1060,360.0,2025,85092,unknown,US,676,37,TRUE
